date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-01 00:00:00,1672498800,16583.638,16604.938,16582.438,16602.738,77,2424,0
2023-01-01 00:10:00,1672499400,16602.738,16621.838,16598.838,16618.138,126,2424,0
2023-01-01 00:20:00,1672500000,16618.138,16619.238,16589.738,16599.738,126,2424,0
2023-01-01 00:30:00,1672500600,16599.738,16599.738,16587.338,16593.338,122,2424,0
2023-01-01 00:40:00,1672501200,16593.338,16593.938,16590.438,16593.938,45,2424,0
2023-01-01 00:50:00,1672501800,16593.938,16595.938,16580.238,16584.838,67,2424,0
2023-01-01 01:00:00,1672502400,16584.838,16590.438,16584.838,16586.338,36,2424,0
2023-01-01 01:10:00,1672503000,16586.338,16587.238,16577.138,16584.338,55,2424,0
2023-01-01 01:20:00,1672503600,16584.338,16598.038,16584.338,16597.838,52,2424,0
2023-01-01 01:30:00,1672504200,16597.838,16598.038,16589.538,16589.538,47,2424,0
2023-01-01 01:40:00,1672504800,16589.538,16593.238,16589.538,16591.138,44,2424,0
2023-01-01 01:50:00,1672505400,16591.138,16608.038,16591.138,16594.838,66,2424,0
2023-01-01 02:00:00,1672506000,16594.838,16598.838,16594.838,16595.538,35,2424,0
2023-01-01 02:10:00,1672506600,16595.538,16595.538,16571.038,16572.538,161,2424,0
2023-01-01 02:20:00,1672507200,16572.538,16575.638,16564.738,16575.538,72,2424,0
2023-01-01 02:30:00,1672507800,16575.538,16576.938,16570.838,16574.938,59,2424,0
2023-01-01 02:40:00,1672508400,16574.938,16576.738,16572.138,16572.138,31,2424,0
2023-01-01 02:50:00,1672509000,16572.138,16577.638,16572.138,16572.138,27,2424,0
2023-01-01 03:00:00,1672509600,16572.138,16578.038,16572.138,16577.638,35,2424,0
2023-01-01 03:10:00,1672510200,16577.638,16581.538,16577.638,16578.838,26,2424,0
2023-01-01 03:20:00,1672510800,16578.838,16578.838,16569.861,16570.038,95,2424,0
2023-01-01 03:30:00,1672511400,16570.038,16570.338,16565.038,16567.538,39,2424,0
2023-01-01 03:40:00,1672512000,16567.538,16574.138,16567.538,16571.338,28,2424,0
2023-01-01 03:50:00,1672512600,16571.338,16574.338,16570.438,16570.438,26,2424,0
2023-01-01 04:00:00,1672513200,16570.538,16572.038,16567.038,16568.738,26,2424,0
2023-01-01 04:10:00,1672513800,16568.738,16574.238,16567.138,16570.038,39,2424,0
2023-01-01 04:20:00,1672514400,16570.038,16570.038,16560.938,16565.138,49,2424,0
2023-01-01 04:30:00,1672515000,16565.138,16583.538,16565.138,16581.138,62,2424,0
