date,time,open,high,low,close,tick_volume,spread,real_volume
2023-01-01 00:00:00,1672498800,70.35,70.41481,70.15517,70.1617,729,15000,0
2023-01-01 00:10:00,1672499400,70.16327,70.41135,70.12,70.38222,637,15000,0
2023-01-01 00:20:00,1672500000,70.38075,70.39,70.10347,70.21,659,15000,0
2023-01-01 00:30:00,1672500600,70.21,70.21,69.88189,69.97,704,15000,0
2023-01-01 00:40:00,1672501200,69.96507,70.06286,69.87229,70.00111,706,15000,0
2023-01-01 00:50:00,1672501800,70.00112,70.00112,69.90299,69.97409999999999,564,15000,0
2023-01-01 01:00:00,1672502400,69.97472,70.18487,69.97398,70.07521,595,15000,0
2023-01-01 01:10:00,1672503000,70.07521,70.09,69.82,69.92,546,15000,0
2023-01-01 01:20:00,1672503600,69.92,70.17679,69.88205,70.15524,382,15000,0
2023-01-01 01:30:00,1672504200,70.15445,70.34,70.04073,70.05,570,15000,0
2023-01-01 01:40:00,1672504800,70.05,70.15483,69.95182,70.01292,569,15000,0
2023-01-01 01:50:00,1672505400,70.0041,70.19,70.0041,70.09,475,15000,0
2023-01-01 02:00:00,1672506000,70.08274,70.22,70.07,70.22,457,15000,0
2023-01-01 02:10:00,1672506600,70.21336,70.23,69.93156,69.94439,546,15000,0
2023-01-01 02:20:00,1672507200,69.94326,69.97,69.71295,69.92019,579,15000,0
2023-01-01 02:30:00,1672507800,69.92237,69.92237,69.73284,69.76602,582,15000,0
2023-01-01 02:40:00,1672508400,69.76648,69.86,69.7529,69.86,555,15000,0
2023-01-01 02:50:00,1672509000,69.86,70.07,69.86,70.06,445,15000,0
2023-01-01 03:00:00,1672509600,70.06,70.15,70.00146,70.06311,470,15000,0
2023-01-01 03:10:00,1672510200,70.06338,70.08,69.97073,69.99178,365,15000,0
2023-01-01 03:20:00,1672510800,69.99178,70.02,69.94085,69.99,500,15000,0
2023-01-01 03:30:00,1672511400,69.99,69.99,69.89061,69.90256,491,15000,0
2023-01-01 03:40:00,1672512000,69.90246,69.95,69.84205,69.8838,436,15000,0
2023-01-01 03:50:00,1672512600,69.88372,69.92,69.78063,69.83267,501,15000,0
2023-01-01 04:00:00,1672513200,69.83321,69.92,69.83091,69.88221,579,15000,0
2023-01-01 04:10:00,1672513800,69.88225,70.07,69.8804,69.95,491,15000,0
2023-01-01 04:20:00,1672514400,69.95,70.01,69.88,69.99,480,15000,0
2023-01-01 04:30:00,1672515000,69.99,70.24,69.97177,70.13,466,15000,0
2023-01-01 04:40:00,1672515600,70.13,70.23,70.00307,70.19446,554,15000,0
2023-01-01 04:50:00,1672516200,70.19446,70.21,70.01381,70.04144,525,15000,0
2023-01-01 05:00:00,1672516800,70.04169,70.05,69.99265,70.04015,550,15000,0
2023-01-01 05:10:00,1672517400,70.04016,70.2,69.98128,70.17163,455,15000,0
2023-01-01 05:20:00,1672518000,70.17161,70.19,70.09261,70.18278,448,15000,0
2023-01-01 05:30:00,1672518600,70.18278,70.34395,70.17,70.25311,486,15000,0
2023-01-01 05:40:00,1672519200,70.25311,70.40352,70.24317,70.34279,397,15000,0
2023-01-01 05:50:00,1672519800,70.34279,70.41,70.25193,70.27348,557,15000,0
2023-01-01 06:00:00,1672520400,70.27337,70.35,70.19207,70.19208,459,15000,0
2023-01-01 06:10:00,1672521000,70.19244,70.31,70.17355,70.26,481,15000,0
2023-01-01 06:20:00,1672521600,70.26,70.26,70.08196,70.24,600,15000,0
2023-01-01 06:30:00,1672522200,70.24,70.32,70.20013,70.25,561,15000,0
2023-01-01 06:40:00,1672522800,70.25,70.28,70.19081,70.24284,513,15000,0
2023-01-01 06:50:00,1672523400,70.24138,70.26,70.1037,70.12,441,15000,0
2023-01-01 07:00:00,1672524000,70.12,70.12,69.96049,70.09,409,15000,0
2023-01-01 07:10:00,1672524600,70.09,70.12,69.91098,69.95,518,15000,0
2023-01-01 07:20:00,1672525200,69.95,70.05273,69.88172,70.04,613,15415,0
2023-01-01 07:30:00,1672525800,70.04,70.07247,69.89101,69.91132,647,15000,0
2023-01-01 07:40:00,1672526400,69.91168,69.93,69.80206,69.84,459,15000,0
2023-01-01 07:50:00,1672527000,69.84,70.05,69.5947,69.99195,567,15000,0
2023-01-01 08:00:00,1672527600,69.99233,69.99233,69.69186,69.71034,630,15000,0
2023-01-01 08:10:00,1672528200,69.71042,69.94,69.69024,69.89384,640,15000,0
2023-01-01 08:20:00,1672528800,69.89102,70.02257,69.89102,70.01015,477,15000,0
2023-01-01 08:30:00,1672529400,70.01202,70.22,69.97248,70.14,457,15000,0
2023-01-01 08:40:00,1672530000,70.14,70.15,69.91489,69.92324,467,15000,0
2023-01-01 08:50:00,1672530600,69.93,70.07,69.77,70.07,493,15000,0
2023-01-01 09:00:00,1672531200,70.07,70.14,69.77127,69.77194,612,15000,0
2023-01-01 09:10:00,1672531800,69.78,69.96,69.64296,69.92098,580,15000,0
2023-01-01 09:20:00,1672532400,69.921,70.00665,69.79291,69.83,496,15000,0
2023-01-01 09:30:00,1672533000,69.83,69.83378,69.35191,69.39209,679,15000,0
2023-01-01 09:40:00,1672533600,69.39337,69.45276,69.04874,69.23,693,15000,0
2023-01-01 09:50:00,1672534200,69.22343,69.39,69.15283,69.21,561,15000,0
2023-01-01 10:00:00,1672534800,69.21,69.43,69.13054,69.40017,576,15000,0
2023-01-01 10:10:00,1672535400,69.40017,69.44253,69.25204,69.3616,468,15000,0
2023-01-01 10:20:00,1672536000,69.37698,69.38552,69.23348,69.28,510,15000,0
2023-01-01 10:30:00,1672536600,69.28,69.28108,69.08037,69.09397,581,15000,0
2023-01-01 10:40:00,1672537200,69.09393,69.4,69.08085,69.39,500,15000,0
2023-01-01 10:50:00,1672537800,69.39,69.52028,69.3428,69.40175,482,15000,0
2023-01-01 11:00:00,1672538400,69.40175,69.42,69.20152,69.27484,505,15000,0
2023-01-01 11:10:00,1672539000,69.27484,69.4,69.22193,69.39,556,15000,0
2023-01-01 11:20:00,1672539600,69.39,69.57,69.3611,69.54145,537,15000,0
2023-01-01 11:30:00,1672540200,69.54145,69.77,69.52048,69.64,595,15000,0
2023-01-01 11:40:00,1672540800,69.64,69.64,69.53136,69.63373,492,15000,0
2023-01-01 11:50:00,1672541400,69.63372,69.63399,69.4,69.42,485,15000,0
